title,category,slug,isco_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs,employment_year,outlook_pct,outlook_desc,outlook_source,exposure,exposure_rationale,url
2153. (Not more specifically classified) Telecommunications engineers (Level 5),2,2153-not-more-specifically-classified-telecommunications-engineers-level-5,2153.,63012,wages_statfin,,Bachelor's degree,2-4 years,None,62,2023,7,Good prospects,extras_csv,7,"Telecommunications engineering involves significant digital work, including network design, simulation, and analysis, which are highly susceptible to AI-driven automation and optimization. While the role requires specialized technical judgment and occasional physical site oversight, the core analytical and planning tasks are increasingly being augmented or automated by AI tools.",
21531 Telecommunications researchers (Level 5),2,21531-telecommunications-researchers-level-5,21531,67128,wages_statfin,,Bachelor's degree,2-4 years,None,1645,2023,6,Moderate prospects,extras_csv,8,"Telecommunications research is a highly digital, knowledge-intensive field that relies heavily on data analysis, simulation, and technical documentation. AI tools are already transforming these core tasks by automating complex modeling, optimizing network architectures, and accelerating the coding processes essential to the role.",
21532 Information technology researchers (Level 5),2,21532-information-technology-researchers-level-5,21532,47964,wages_statfin,,Bachelor's degree,2-4 years,None,1131,2023,6,Moderate prospects,extras_csv,9,"As information technology researchers, the core tasks involve coding, data analysis, and technical documentation, all of which are primary domains for AI advancement. AI tools are already capable of accelerating research, automating code generation, and synthesizing technical literature, leading to a fundamental restructuring of how this role is performed.",
"216 Architects, planners, surveyors and designers (Level 3)",2,216-architects-planners-surveyors-and-designers-level-3,216,52512,wages_statfin,,Bachelor's degree,2-4 years,None,15513,2023,6,Moderate prospects,extras_csv,8,"This occupation is heavily reliant on digital tools like CAD, BIM, and design software, which are increasingly integrated with generative AI for automated drafting, structural optimization, and rendering. While human judgment and physical site visits remain necessary, the core design and planning tasks are highly susceptible to AI-driven automation and augmentation.",
"216.  (Not more specifically classified) Architects, planners, surveyors and designers (Level 4)",2,216-not-more-specifically-classified-architects-planners-surveyors-and-designers-level-4,216.,,,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,8,"This occupation involves significant digital knowledge work, including CAD modeling, technical planning, and data analysis, which are highly susceptible to AI-driven automation and generative design tools. While human judgment and physical site visits remain necessary, the core technical and design tasks are increasingly being performed within digital environments where AI capabilities are rapidly advancing.",
"216.. (Not more specifically classified) Architects, planners, surveyors and designers (Level 5)",2,216-not-more-specifically-classified-architects-planners-surveyors-and-designers-level-5,216..,52512,wages_statfin,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,8,"This occupation involves significant digital knowledge work, including CAD modeling, technical planning, and data analysis, which are highly susceptible to AI-driven automation and generative design tools. While human judgment and physical site visits remain necessary, the core technical and design tasks are increasingly being performed within digital environments where AI capabilities are rapidly advancing.",
2161 Building architects (Level 4),2,2161-building-architects-level-4,2161,55992,wages_statfin,,Bachelor's degree,2-4 years,None,3889,2023,7,Good prospects,extras_csv,7,"Architectural work is increasingly digital, relying heavily on CAD and BIM software where AI is rapidly automating drafting, generative design, and structural optimization. While human judgment, regulatory compliance, and client interaction remain essential, the core technical production of architectural plans is highly susceptible to AI-driven efficiency gains.",
2161. Building architects (Level 5),2,2161-building-architects-level-5,2161.,55992,wages_statfin,,Bachelor's degree,2-4 years,None,3889,2023,7,Good prospects,extras_csv,7,"Architectural work is increasingly digital, relying heavily on CAD and BIM software where AI is rapidly automating drafting, generative design, and structural optimization. While human judgment, regulatory compliance, and client interaction remain essential, the core technical production of architectural plans is highly susceptible to AI-driven efficiency gains.",
2162 Landscape architects (Level 4),2,2162-landscape-architects-level-4,2162,52788,wages_statfin,,Bachelor's degree,2-4 years,None,164,2023,6,Moderate prospects,extras_csv,7,"Landscape architecture involves significant digital work, including CAD drafting, 3D modeling, and data analysis, all of which are highly susceptible to AI-driven automation and generative design tools. While the role requires site visits and human-centric design judgment, the core technical production tasks are increasingly being reshaped by AI software.",
2162. Landscape architects (Level 5),2,2162-landscape-architects-level-5,2162.,52788,wages_statfin,,Bachelor's degree,2-4 years,None,164,2023,6,Moderate prospects,extras_csv,7,"Landscape architecture involves significant digital work, including CAD drafting, 3D modeling, and data analysis, all of which are highly susceptible to AI-driven automation and generative design tools. While the role requires site visits and human-centric design judgment, the core technical production tasks are increasingly being reshaped by AI software.",
2163 Product and garment designers (Level 4),2,2163-product-and-garment-designers-level-4,2163,48240,wages_statfin,,Bachelor's degree,2-4 years,None,1356,2023,5,Moderate prospects,extras_csv,8,"Product and garment design is increasingly digital, relying on CAD software, 3D modeling, and digital prototyping, all of which are being rapidly transformed by generative AI. While the role requires creative judgment and aesthetic sense, the core technical tasks of drafting, pattern making, and visual iteration are highly susceptible to automation and AI-assisted design tools.",
2163. Product and garment designers (Level 5),2,2163-product-and-garment-designers-level-5,2163.,48240,wages_statfin,,Bachelor's degree,2-4 years,None,1356,2023,5,Moderate prospects,extras_csv,8,"Product and garment design is increasingly digital, relying on CAD software, 3D modeling, and digital prototyping, all of which are being rapidly transformed by generative AI. While the role requires creative judgment and aesthetic sense, the core technical tasks of drafting, pattern making, and visual iteration are highly susceptible to automation and AI-assisted design tools.",
2164 Town and traffic planners (Level 4),2,2164-town-and-traffic-planners-level-4,2164,56856,wages_statfin,,Bachelor's degree,2-4 years,None,3846,2023,5,Moderate prospects,extras_csv,7,"Town and traffic planning is a knowledge-intensive role that relies heavily on digital data analysis, GIS mapping, and simulation software, all of which are being rapidly transformed by AI. While the job requires human judgment for political and social navigation, the core technical tasks of modeling and design are highly susceptible to AI-driven automation and optimization.",
2164. Town and traffic planners (Level 5),2,2164-town-and-traffic-planners-level-5,2164.,56856,wages_statfin,,Bachelor's degree,2-4 years,None,3846,2023,5,Moderate prospects,extras_csv,7,"Town and traffic planning is a knowledge-intensive role that relies heavily on digital data analysis, GIS mapping, and simulation software, all of which are being rapidly transformed by AI. While the job requires human judgment for political and social navigation, the core technical tasks of modeling and design are highly susceptible to AI-driven automation and optimization.",
2165 Cartographers and surveyors (Level 4),2,2165-cartographers-and-surveyors-level-4,2165,50076,wages_statfin,,Bachelor's degree,2-4 years,None,1781,2023,5,Moderate prospects,extras_csv,7,"Cartography and surveying are increasingly digital, relying heavily on GIS software, satellite imagery, and automated data processing. While field surveying requires physical presence, the core analytical and drafting tasks are highly susceptible to AI-driven automation and advanced spatial modeling.",
2165. Cartographers and surveyors (Level 5),2,2165-cartographers-and-surveyors-level-5,2165.,50076,wages_statfin,,Bachelor's degree,2-4 years,None,1781,2023,5,Moderate prospects,extras_csv,7,"Cartography and surveying are increasingly digital, relying heavily on GIS software, satellite imagery, and automated data processing. While field surveying requires physical presence, the core analytical and drafting tasks are highly susceptible to AI-driven automation and advanced spatial modeling.",
2166 Graphic and multimedia designers (Level 4),2,2166-graphic-and-multimedia-designers-level-4,2166,45876,wages_statfin,,Bachelor's degree,2-4 years,None,4477,2023,4,Below average,extras_csv,9,"Graphic and multimedia design is a predominantly digital profession where generative AI tools can already automate complex image creation, layout, and asset generation. The core tasks of the role are highly susceptible to rapid restructuring as AI models continue to advance in visual synthesis and design logic.",
2166. Graphic and multimedia designers (Level 5),2,2166-graphic-and-multimedia-designers-level-5,2166.,45876,wages_statfin,,Bachelor's degree,2-4 years,None,4477,2023,4,Below average,extras_csv,9,"Graphic and multimedia design is a predominantly digital profession where generative AI tools can already automate complex image creation, layout, and asset generation. The core tasks of the role are highly susceptible to rapid restructuring as AI models continue to advance in visual synthesis and design logic.",
22 Health professionals (Level 2),2,22-health-professionals-level-2,22,73752,wages_statfin,,,,,42671,2023,,,,5,"Health professionals perform a mix of high-level knowledge work, such as diagnostics and treatment planning, which are increasingly supported by AI, and essential physical/interpersonal care that requires human presence. While AI will significantly augment their analytical capabilities, the core requirement for physical examination and patient-centered human interaction creates a natural barrier to full automation.",
221 Medical doctors (Level 3),2,221-medical-doctors-level-3,221,104040,wages_statfin,,,,,22431,2023,,,,5,"Medical doctors perform high-stakes knowledge work that benefits from AI in diagnostics, imaging analysis, and administrative tasks. However, the core of the profession requires physical examination, complex human judgment, and patient interaction, which remain significant barriers to full automation.",
2211 Generalist medical practitioners (Level 4),2,2211-generalist-medical-practitioners-level-4,2211,96804,wages_statfin,,Doctoral degree,5+ years,Specialist training,8083,2023,9,Very good prospects,extras_csv,5,"Generalist medical practitioners perform high-stakes diagnostic and interpersonal work that requires physical presence and complex human judgment. While AI is increasingly capable of assisting with data analysis, medical imaging, and administrative documentation, the core of the profession—patient examination, physical care, and ethical decision-making—remains fundamentally human-centric.",
2211. Generalist medical practitioners (Level 5),2,2211-generalist-medical-practitioners-level-5,2211.,96804,wages_statfin,,Doctoral degree,5+ years,Specialist training,8083,2023,9,Very good prospects,extras_csv,5,"Generalist medical practitioners perform high-stakes diagnostic and interpersonal work that requires physical presence and complex human judgment. While AI is increasingly capable of assisting with data analysis, medical imaging, and administrative documentation, the core of the profession—patient examination, physical care, and ethical decision-making—remains fundamentally human-centric.",
2212 Specialist medical practitioners (Level 4),2,2212-specialist-medical-practitioners-level-4,2212,107496,wages_statfin,,Bachelor's degree,3-5 years,None,14348,2023,8,Good prospects,extras_csv,5,"While medical specialists perform high-level knowledge work, their role requires significant physical examination, real-time patient interaction, and high-stakes clinical judgment that AI cannot currently replace. AI serves as a powerful diagnostic and administrative tool, but the core of the profession remains anchored in physical presence and human accountability.",
22121 Senior physicians (Level 5),2,22121-senior-physicians-level-5,22121,129540,wages_statfin,,Bachelor's degree,2-4 years,None,3278,2023,6,Moderate prospects,extras_csv,4,"While senior physicians perform significant knowledge work, their role requires high-stakes physical examination, complex clinical judgment, and direct patient interaction that AI cannot replace. AI serves as a powerful diagnostic and administrative support tool, but the core of the profession remains anchored in human-centric care and physical presence.",
22122 Specialists (Level 5),2,22122-specialists-level-5,22122,97248,wages_statfin,,Bachelor's degree,2-4 years,None,11070,2023,6,Moderate prospects,extras_csv,7,"As a specialist role involving high-level knowledge work, this occupation relies heavily on information processing, analysis, and digital communication. While it requires human judgment and expertise, the core tasks are increasingly susceptible to augmentation and automation by AI tools, leading to significant productivity shifts.",
222 Nursing and midwifery professionals (Level 3),2,222-nursing-and-midwifery-professionals-level-3,222,50376,wages_statfin,,,,,5650,2023,,,,4,"Nursing and midwifery professionals perform critical, high-touch physical care and real-time clinical decision-making that requires human presence and empathy. While AI can assist with administrative tasks, diagnostic support, and monitoring, the core of the profession remains inherently tied to physical interaction and complex, unpredictable patient care.",
2221 Nursing professionals (Level 4),2,2221-nursing-professionals-level-4,2221,50376,wages_statfin,,Bachelor's degree,3-5 years,None,5650,2023,8,Good prospects,extras_csv,4,"Nursing is a high-touch, physical profession that requires real-time clinical judgment, patient interaction, and manual care, which are difficult to automate. While AI can assist with administrative tasks, diagnostics, and monitoring, the core of the role remains fundamentally tied to human presence and physical intervention.",
22211 Matrons (Level 5),2,22211-matrons-level-5,22211,68736,wages_statfin,,Bachelor's degree,2-4 years,None,512,2023,6,Moderate prospects,extras_csv,5,"Matrons in a healthcare or institutional setting perform a hybrid role that combines administrative knowledge work with significant physical presence and real-time human interaction. While AI can assist with scheduling, documentation, and resource management, the core of the role requires direct oversight, physical coordination, and interpersonal judgment that cannot be automated.",
22212 Ward sisters (Level 5),2,22212-ward-sisters-level-5,22212,49812,wages_statfin,,Bachelor's degree,2-4 years,None,5138,2023,6,Moderate prospects,extras_csv,4,"Ward sisters perform a hybrid role involving clinical patient care, which requires physical presence and human empathy, alongside administrative and managerial duties. While AI can assist with scheduling, resource allocation, and documentation, the core of the job remains centered on real-time clinical judgment and interpersonal coordination in a physical healthcare environment.",
225 Veterinarians (Level 3),2,225-veterinarians-level-3,225,72324,wages_statfin,,,,,1798,2023,,,,4,"Veterinarians perform essential physical tasks such as examinations, surgeries, and animal handling that require real-time presence and manual dexterity. While AI can assist with diagnostic imaging analysis and record-keeping, the core of the profession remains rooted in physical interaction and complex clinical judgment that cannot be automated.",
2250 Veterinarians (Level 4),2,2250-veterinarians-level-4,2250,72324,wages_statfin,,Bachelor's degree,2-4 years,None,1798,2023,5,Moderate prospects,extras_csv,4,"Veterinarians perform essential physical tasks such as examinations, surgeries, and animal handling that require real-time presence and manual dexterity. While AI can assist with diagnostic imaging analysis and record-keeping, the core of the profession remains rooted in physical interaction and complex clinical judgment that cannot be automated.",
2250. Veterinarians (Level 5),2,2250-veterinarians-level-5,2250.,72324,wages_statfin,,Bachelor's degree,2-4 years,None,1798,2023,5,Moderate prospects,extras_csv,4,"Veterinarians perform essential physical tasks such as examinations, surgeries, and animal handling that require real-time presence and manual dexterity. While AI can assist with diagnostic imaging analysis and record-keeping, the core of the profession remains rooted in physical interaction and complex clinical judgment that cannot be automated.",
226 Other health professionals (Level 3),2,226-other-health-professionals-level-3,226,59340,wages_statfin,,Bachelor's degree,2-4 years,None,12792,2023,6,Moderate prospects,extras_csv,5,"This category encompasses diverse health roles that require a mix of specialized knowledge work and direct, physical patient interaction. While AI can assist with diagnostic analysis and documentation, the core requirement for physical presence and human-centric care provides a significant barrier to full automation.",
226.  (Not more specifically classified) Other health professionals (Level 4),2,226-not-more-specifically-classified-other-health-professionals-level-4,226.,,,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,5,"This category encompasses diverse health roles that require a mix of specialized knowledge work and direct, physical patient interaction. While AI can assist with diagnostic analysis and documentation, the core requirement for physical presence and human-centric care provides a significant barrier to full automation.",
226.. (Not more specifically classified) Other health professionals (Level 5),2,226-not-more-specifically-classified-other-health-professionals-level-5,226..,59340,wages_statfin,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,5,"This category covers a diverse range of health professionals whose work involves a mix of specialized knowledge, clinical assessment, and direct patient interaction. While AI can assist with diagnostic support and administrative documentation, the core requirement for physical presence and human-centric care provides a significant buffer against full automation.",
2261 Dentists (Level 4),2,2261-dentists-level-4,2261,86652,wages_statfin,,Bachelor's degree,2-4 years,None,4300,2023,6,Moderate prospects,extras_csv,3,"Dentistry is a highly physical, manual profession that requires real-time, precise interaction with patients in a clinical setting. While AI can assist with diagnostic imaging and administrative tasks, the core work of performing dental procedures remains fundamentally tied to physical dexterity and human presence.",
2261. Dentists (Level 5),2,2261-dentists-level-5,2261.,86652,wages_statfin,,Bachelor's degree,2-4 years,None,4300,2023,6,Moderate prospects,extras_csv,3,"Dentistry is a highly physical, manual profession that requires real-time, precise interaction with patients in a clinical setting. While AI can assist with diagnostic imaging and administrative tasks, the core work of performing dental procedures remains fundamentally tied to physical dexterity and human presence.",
2262 Pharmacists (Level 4),2,2262-pharmacists-level-4,2262,60540,wages_statfin,,Bachelor's degree,2-4 years,None,1602,2023,7,Good prospects,extras_csv,6,"Pharmacists perform a mix of knowledge-based tasks, such as drug interaction analysis and clinical decision-making, which are increasingly supported by AI, alongside physical tasks like medication dispensing and patient counseling. While AI can automate complex verification and safety checks, the requirement for physical presence, legal accountability, and direct patient interaction provides a significant buffer against full automation.",
2262. Pharmacists (Level 5),2,2262-pharmacists-level-5,2262.,60540,wages_statfin,,Bachelor's degree,2-4 years,None,1602,2023,7,Good prospects,extras_csv,6,"Pharmacists perform a mix of knowledge-based tasks, such as drug interaction analysis and clinical decision-making, which are increasingly supported by AI, alongside physical tasks like medication dispensing and patient counseling. While AI can automate complex verification and safety checks, the requirement for physical presence, legal accountability, and direct patient interaction provides a significant buffer against full automation.",
2263 Environmental and occupational health and hygiene professionals (Level 4),2,2263-environmental-and-occupational-health-and-hygiene-professionals-level-4,2263,61896,wages_statfin,,Bachelor's degree,2-4 years,None,773,2023,7,Good prospects,extras_csv,6,"This role involves a significant amount of knowledge work, including data analysis, report writing, and regulatory compliance, which are highly susceptible to AI-driven automation. However, the profession also requires physical site inspections, on-site risk assessments, and interpersonal communication with stakeholders, which provide a necessary human-centric buffer.",
2263. Environmental and occupational health and hygiene professionals (Level 5),2,2263-environmental-and-occupational-health-and-hygiene-professionals-level-5,2263.,61896,wages_statfin,,Bachelor's degree,2-4 years,None,773,2023,7,Good prospects,extras_csv,6,"This role involves a significant amount of knowledge work, including data analysis, report writing, and regulatory compliance, which are highly susceptible to AI-driven automation. However, the profession also requires physical site inspections, on-site risk assessments, and interpersonal communication with stakeholders, which provide a necessary human-centric buffer.",
2265 Dieticians and nutritionists (Level 4),2,2265-dieticians-and-nutritionists-level-4,2265,48264,wages_statfin,,Bachelor's degree,2-4 years,None,447,2023,5,Moderate prospects,extras_csv,5,"Dieticians and nutritionists perform a mix of knowledge-based analysis, such as meal planning and data interpretation, which is highly susceptible to AI, and interpersonal counseling, which requires human empathy and physical presence. While AI can automate the generation of nutritional plans and health tracking, the core of the profession relies on patient relationship management and personalized behavioral guidance that remains human-centric.",
2265. Dieticians and nutritionists (Level 5),2,2265-dieticians-and-nutritionists-level-5,2265.,48264,wages_statfin,,Bachelor's degree,2-4 years,None,447,2023,5,Moderate prospects,extras_csv,5,"Dieticians and nutritionists perform a mix of knowledge-based analysis, such as meal planning and data interpretation, which is highly susceptible to AI, and interpersonal counseling, which requires human empathy and physical presence. While AI can automate the generation of nutritional plans and health tracking, the core of the profession relies on patient relationship management and personalized behavioral guidance that remains human-centric.",
2266 Audiologists and speech therapists (Level 4),2,2266-audiologists-and-speech-therapists-level-4,2266,49764,wages_statfin,,Bachelor's degree,2-4 years,None,1864,2023,6,Moderate prospects,extras_csv,4,"The role involves significant interpersonal, physical, and diagnostic work that requires real-time human interaction and clinical judgment. While AI can assist with administrative tasks, data analysis, and generating therapy materials, the core of the profession relies on direct patient care and physical assessment that cannot be automated.",
2266. Audiologists and speech therapists (Level 5),2,2266-audiologists-and-speech-therapists-level-5,2266.,49764,wages_statfin,,Bachelor's degree,2-4 years,None,1864,2023,6,Moderate prospects,extras_csv,4,"The role involves significant interpersonal, physical, and diagnostic work that requires real-time human interaction and clinical judgment. While AI can assist with administrative tasks, data analysis, and generating therapy materials, the core of the profession relies on direct patient care and physical assessment that cannot be automated.",
2269 Health professionals not elsewhere classified (Level 4),2,2269-health-professionals-not-elsewhere-classified-level-4,2269,55392,wages_statfin,,Bachelor's degree,2-4 years,None,3806,2023,6,Moderate prospects,extras_csv,5,"This category includes diverse health professionals like speech therapists and audiologists who rely on both technical knowledge and direct, physical patient interaction. While AI can assist with diagnostic data analysis and documentation, the core of the work requires human-centric, real-time physical presence and therapeutic judgment that remains difficult to automate.",
2269. Health professionals not elsewhere classified (Level 5),2,2269-health-professionals-not-elsewhere-classified-level-5,2269.,55392,wages_statfin,,Bachelor's degree,2-4 years,None,3806,2023,6,Moderate prospects,extras_csv,5,"This category includes diverse health professionals like speech therapists and audiologists who rely on both technical knowledge and direct, physical patient interaction. While AI can assist with diagnostic data analysis and documentation, the core of the work requires human-centric, real-time physical presence and therapeutic judgment that remains difficult to automate.",
23 Teaching professionals (Level 2),2,23-teaching-professionals-level-2,23,49824,wages_statfin,,,,,141077,2023,,,,6,"Teaching professionals perform significant knowledge work, including lesson planning, grading, and content creation, which are increasingly susceptible to AI-driven automation and augmentation. However, the core of the profession relies on complex human interaction, emotional intelligence, and physical presence in the classroom, which remain essential and difficult for AI to replicate.",
231 University and higher education teachers (Level 3),2,231-university-and-higher-education-teachers-level-3,231,61764,wages_statfin,,,,,18543,2023,,,,6,"University teaching involves significant knowledge work, content creation, and administrative tasks that are highly susceptible to AI augmentation and automation. However, the role retains a strong requirement for human-centric interaction, mentorship, and complex pedagogical judgment that limits full replacement.",
2310 University and higher education teachers (Level 4),2,2310-university-and-higher-education-teachers-level-4,2310,61764,wages_statfin,,Bachelor's degree,2-4 years,None,18543,2023,7,Good prospects,extras_csv,6,"University teaching involves significant knowledge work, content creation, and administrative tasks that are highly susceptible to AI augmentation and automation. However, the role retains a strong requirement for human-centric interaction, mentorship, and complex pedagogical judgment that limits full replacement.",
23101 Professors (Level 5),2,23101-professors-level-5,23101,88248,wages_statfin,,Bachelor's degree,2-4 years,None,3061,2023,6,Moderate prospects,extras_csv,6,"Professors engage in high-level knowledge work, including research, content creation, and data analysis, which are increasingly susceptible to AI augmentation. However, the role retains a significant requirement for human interaction, mentorship, and complex pedagogical judgment that limits full automation.",
23102 Lecturers and senior assistants (university) (Level 5),2,23102-lecturers-and-senior-assistants-university-level-5,23102,55308,wages_statfin,,Bachelor's degree,2-4 years,None,4512,2023,6,Moderate prospects,extras_csv,6,"University lecturing involves significant knowledge work, content creation, and administrative tasks that are highly susceptible to AI-driven automation and augmentation. However, the role retains a strong requirement for human-centric interaction, mentorship, and complex pedagogical judgment that limits the extent of total replacement.",
23103 Assistants and part-time lecturers (university) (Level 5),2,23103-assistants-and-part-time-lecturers-university-level-5,23103,36636,wages_statfin,,Bachelor's degree,2-4 years,None,4851,2023,6,Moderate prospects,extras_csv,7,"University assistants and lecturers perform knowledge-intensive work involving curriculum development, grading, and communication, all of which are highly susceptible to AI-driven automation and augmentation. While the role requires human interaction and pedagogical judgment, the core tasks are increasingly digital and can be significantly streamlined by generative AI tools.",
23104 Head teachers (polytechnics) (Level 5),2,23104-head-teachers-polytechnics-level-5,23104,76644,wages_statfin,,Bachelor's degree,2-4 years,None,592,2023,6,Moderate prospects,extras_csv,6,"As a head teacher in a polytechnic, the role involves significant knowledge work, administration, and communication that can be augmented by AI tools for curriculum development and data analysis. However, the position requires substantial human judgment, leadership, and interpersonal interaction with faculty and students, which limits the extent to which AI can replace the core responsibilities.",
23105 Lecturers (polytechnics) (Level 5),2,23105-lecturers-polytechnics-level-5,23105,64704,wages_statfin,,Bachelor's degree,2-4 years,None,4916,2023,6,Moderate prospects,extras_csv,6,"Lecturers perform significant knowledge work, including curriculum design, content creation, and grading, all of which are highly susceptible to AI-driven automation and augmentation. However, the role retains a strong interpersonal and pedagogical component that requires human presence, empathy, and real-time student interaction, which limits the total extent of AI replacement.",
"23106 Part-time lecturers, etc. (polytechnics) (Level 5)",2,23106-part-time-lecturers-etc-polytechnics-level-5,23106,56028,wages_statfin,,Bachelor's degree,2-4 years,None,611,2023,6,Moderate prospects,extras_csv,6,"The role involves significant knowledge work, including curriculum development, grading, and communication, which are increasingly supported by AI tools. However, the core requirement for real-time human interaction, pedagogical judgment, and physical presence in a classroom environment provides a natural buffer against full automation.",
232 Vocational education teachers (Level 3),2,232-vocational-education-teachers-level-3,232,54600,wages_statfin,,,,,14268,2023,,,,6,"Vocational education involves significant knowledge work, such as lesson planning, grading, and curriculum development, which are highly susceptible to AI-driven automation and augmentation. However, the core of the role requires physical presence, hands-on instruction, and interpersonal mentorship, which act as a significant buffer against full automation.",
2320 Vocational education teachers (Level 4),2,2320-vocational-education-teachers-level-4,2320,54600,wages_statfin,,Bachelor's degree,2-4 years,None,14268,2023,6,Moderate prospects,extras_csv,6,"Vocational education involves significant knowledge work, such as lesson planning, grading, and curriculum development, which are highly susceptible to AI-driven automation and augmentation. However, the core of the role requires physical presence, hands-on instruction, and interpersonal mentorship, which act as a significant buffer against full automation.",
2320. Vocational education teachers (Level 5),2,2320-vocational-education-teachers-level-5,2320.,54600,wages_statfin,,Bachelor's degree,2-4 years,None,14268,2023,6,Moderate prospects,extras_csv,6,"Vocational education involves significant knowledge work, such as lesson planning, grading, and curriculum development, which are highly susceptible to AI-driven automation and augmentation. However, the core of the role requires physical presence, hands-on instruction, and interpersonal mentorship, which act as a significant buffer against full automation.",
233 Secondary education teachers (Level 3),2,233-secondary-education-teachers-level-3,233,56172,wages_statfin,,Bachelor's degree,2-4 years,None,24007,2023,6,Moderate prospects,extras_csv,6,"Secondary education teaching is knowledge-intensive and involves significant digital preparation, grading, and administrative tasks that are highly susceptible to AI augmentation. However, the core of the profession relies on human-centric interaction, classroom management, and pedagogical judgment, which remain difficult for AI to fully replicate.",
233.  (Not more specifically classified) Secondary education teachers (Level 4),2,233-not-more-specifically-classified-secondary-education-teachers-level-4,233.,,,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,6,"Secondary education teaching involves significant knowledge work, such as lesson planning, grading, and content creation, which are increasingly supported by AI tools. However, the core of the profession requires complex human interaction, classroom management, and emotional intelligence, which remain difficult for AI to replicate.",
233.. (Not more specifically classified) Secondary education teachers (Level 5),2,233-not-more-specifically-classified-secondary-education-teachers-level-5,233..,56172,wages_statfin,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,6,"Secondary education teaching involves significant knowledge work, such as lesson planning, grading, and content creation, which are highly susceptible to AI-driven automation and augmentation. However, the core of the profession relies on real-time human interaction, classroom management, and emotional intelligence, which remain essential and difficult for AI to fully replicate.",
2330 Secondary education teachers (Level 4),2,2330-secondary-education-teachers-level-4,2330,56172,wages_statfin,,Bachelor's degree,2-4 years,None,24007,2023,6,Moderate prospects,extras_csv,6,"Secondary education teaching is knowledge-intensive and involves significant digital preparation, grading, and administrative tasks that are highly susceptible to AI augmentation. However, the core of the profession relies on human-centric interaction, classroom management, and pedagogical judgment, which remain difficult for AI to fully replicate.",
234 Primary school and early childhood teachers (Level 3),2,234-primary-school-and-early-childhood-teachers-level-3,234,42960,wages_statfin,,Bachelor's degree,2-4 years,None,51457,2023,6,Moderate prospects,extras_csv,6,"While the core of the job involves essential human interaction, emotional intelligence, and physical presence in a classroom, the preparation, administrative, and instructional design aspects are highly susceptible to AI augmentation. AI tools can significantly streamline lesson planning, grading, and personalized content creation, shifting the teacher's role toward facilitation and mentorship.",
234.  (Not more specifically classified) Primary school and early childhood teachers (Level 4),2,234-not-more-specifically-classified-primary-school-and-early-childhood-teachers-level-4,234.,,,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,6,"While the core of the job involves essential human interaction, emotional intelligence, and physical presence in a classroom, the preparation, administrative, and instructional design aspects are highly susceptible to AI augmentation. AI tools can significantly streamline lesson planning, grading, and personalized content creation, shifting the teacher's role toward facilitation and mentorship.",
234.. (Not more specifically classified) Primary school and early childhood teachers (Level 5),2,234-not-more-specifically-classified-primary-school-and-early-childhood-teachers-level-5,234..,42960,wages_statfin,,Bachelor's degree,2-4 years,None,0,2023,6,Moderate prospects,extras_csv,6,"While the core of the job involves essential human interaction, emotional intelligence, and physical presence in a classroom, the preparation, administrative, and instructional design aspects are highly susceptible to AI augmentation. AI tools can significantly streamline lesson planning, grading, and personalized content creation, shifting the teacher's role toward facilitation and mentorship.",
2341 Primary school teachers (Level 4),2,2341-primary-school-teachers-level-4,2341,50100,wages_statfin,,Bachelor's degree,2-4 years,None,28744,2023,6,Moderate prospects,extras_csv,6,"Primary school teaching involves significant interpersonal interaction, emotional intelligence, and physical presence, which are difficult to automate. However, AI is increasingly capable of assisting with lesson planning, grading, and personalized content creation, which will significantly reshape the administrative and preparatory aspects of the role.",
23411 Class teachers in primary education (Level 5),2,23411-class-teachers-in-primary-education-level-5,23411,50160,wages_statfin,,Bachelor's degree,2-4 years,None,19675,2023,6,Moderate prospects,extras_csv,6,"Primary education involves significant interpersonal interaction, emotional intelligence, and physical classroom management that AI cannot replicate. However, AI is highly capable of assisting with lesson planning, grading, and personalized content creation, which will significantly reshape the administrative and preparatory aspects of the role.",
23412 Subject teachers in primary education (Level 5),2,23412-subject-teachers-in-primary-education-level-5,23412,49680,wages_statfin,,Bachelor's degree,2-4 years,None,9069,2023,6,Moderate prospects,extras_csv,6,"Teaching is primarily knowledge-based and involves significant digital preparation, grading, and administrative tasks that are highly susceptible to AI automation. However, the core of the profession relies on real-time human interaction, classroom management, and emotional intelligence, which remain difficult for AI to replicate fully.",
2342 Early childhood educators (Level 4),2,2342-early-childhood-educators-level-4,2342,38772,wages_statfin,,Bachelor's degree,2-4 years,None,22713,2023,6,Moderate prospects,extras_csv,4,"Early childhood education relies heavily on physical presence, emotional labor, and real-time human interaction, which are difficult for AI to replicate. While AI can assist with administrative tasks, lesson planning, and documentation, the core of the job remains centered on the physical care and social development of children.",
