title,category,slug,soc_code,median_pay_annual,median_pay_source,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,outlook_source,employment_change,exposure,exposure_rationale,url
"216 Architects, planners, surveyors and designers (Level 3)",2,216-architects-planners-surveyors-and-designers-level-3,216,52512,wages_statfin,,Bachelor's degree,2-4 years,None,15513,,6,Moderate prospects,,,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",
"216.  (Not more specifically classified) Architects, planners, surveyors and designers (Level 4)",2,216-not-more-specifically-classified-architects-planners-surveyors-and-designers-level-4,216.,,,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",
"216.. (Not more specifically classified) Architects, planners, surveyors and designers (Level 5)",2,216-not-more-specifically-classified-architects-planners-surveyors-and-designers-level-5,216..,52512,wages_statfin,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",
2161 Building architects (Level 4),2,2161-building-architects-level-4,2161,56004,wages_statfin,,Bachelor's degree,2-4 years,None,3889,,7,Good prospects,extras_csv,,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",
2161. Building architects (Level 5),2,2161-building-architects-level-5,2161.,56004,wages_statfin,,Bachelor's degree,2-4 years,None,3889,,7,Good prospects,extras_csv,,7,"Architects perform high-level knowledge work that is increasingly digital, utilizing CADD and BIM software which is highly susceptible to AI-driven automation in generative design and technical documentation. While the role requires physical site visits and complex client negotiations, a significant portion of the core work—drafting, specification writing, and regulatory compliance—is moving toward high AI integration.",
2162 Landscape architects (Level 4),2,2162-landscape-architects-level-4,2162,52800,wages_statfin,,Bachelor's degree,2-4 years,None,164,,6,Moderate prospects,extras_csv,,7,"Landscape architecture is a predominantly digital knowledge-based occupation where core tasks like CADD modeling, site analysis, and cost estimation are highly susceptible to AI automation and enhancement. While the role requires physical site visits and interpersonal client management, the generative design capabilities of AI can significantly accelerate the creative and technical drafting phases, potentially reducing the total human hours required per project.",
2162. Landscape architects (Level 5),2,2162-landscape-architects-level-5,2162.,52800,wages_statfin,,Bachelor's degree,2-4 years,None,164,,6,Moderate prospects,extras_csv,,7,"Landscape architecture is a predominantly digital knowledge-based occupation where core tasks like CADD modeling, site analysis, and cost estimation are highly susceptible to AI automation and enhancement. While the role requires physical site visits and interpersonal client management, the generative design capabilities of AI can significantly accelerate the creative and technical drafting phases, potentially reducing the total human hours required per project.",
2163 Product and garment designers (Level 4),2,2163-product-and-garment-designers-level-4,2163,48132,wages_statfin,,Bachelor's degree,2-4 years,None,1356,,5,Moderate prospects,extras_csv,,7,"The core creative process—including script analysis, conceptual sketching, and CAD modeling—is increasingly susceptible to generative AI and automated design tools that can rapidly produce 3D environments and visual concepts. While the role requires physical-world considerations like material budgets and on-site installation oversight, the shift toward digital production (such as virtual sets and LED volumes) and AI-assisted drafting significantly increases productivity and reduces the total human labor required per project.",
2163. Product and garment designers (Level 5),2,2163-product-and-garment-designers-level-5,2163.,48132,wages_statfin,,Bachelor's degree,2-4 years,None,1356,,5,Moderate prospects,extras_csv,,7,"The core creative process—including script analysis, conceptual sketching, and CAD modeling—is increasingly susceptible to generative AI and automated design tools that can rapidly produce 3D environments and visual concepts. While the role requires physical-world considerations like material budgets and on-site installation oversight, the shift toward digital production (such as virtual sets and LED volumes) and AI-assisted drafting significantly increases productivity and reduces the total human labor required per project.",
2164 Town and traffic planners (Level 4),2,2164-town-and-traffic-planners-level-4,2164,56856,wages_statfin,,Bachelor's degree,2-4 years,None,3846,,5,Moderate prospects,extras_csv,,6,"A significant portion of the role involves digital tasks such as logistics planning, vendor research, contract review, and communications, which are highly susceptible to AI automation and productivity gains. However, the core of the job requires physical site inspections, real-time on-site problem solving during events, and high-stakes interpersonal negotiation and relationship management, which provide a buffer against full automation.",
2164. Town and traffic planners (Level 5),2,2164-town-and-traffic-planners-level-5,2164.,56856,wages_statfin,,Bachelor's degree,2-4 years,None,3846,,5,Moderate prospects,extras_csv,,6,"A significant portion of the role involves digital tasks such as logistics planning, vendor research, contract review, and communications, which are highly susceptible to AI automation and productivity gains. However, the core of the job requires physical site inspections, real-time on-site problem solving during events, and high-stakes interpersonal negotiation and relationship management, which provide a buffer against full automation.",
2165 Cartographers and surveyors (Level 4),2,2165-cartographers-and-surveyors-level-4,2165,50076,wages_statfin,,Bachelor's degree,2-4 years,None,1781,,5,Moderate prospects,extras_csv,,5,"Surveying is a hybrid occupation that combines significant physical fieldwork with digital data processing. While AI and automation (via drones and GIS) are rapidly increasing productivity in the mapping and analysis phases, the core requirements of physical site visits, navigating rugged terrain, and providing legally certified human testimony in court create a substantial barrier to full automation.",
2165. Cartographers and surveyors (Level 5),2,2165-cartographers-and-surveyors-level-5,2165.,50076,wages_statfin,,Bachelor's degree,2-4 years,None,1781,,5,Moderate prospects,extras_csv,,5,"Surveying is a hybrid occupation that combines significant physical fieldwork with digital data processing. While AI and automation (via drones and GIS) are rapidly increasing productivity in the mapping and analysis phases, the core requirements of physical site visits, navigating rugged terrain, and providing legally certified human testimony in court create a substantial barrier to full automation.",
2166 Graphic and multimedia designers (Level 4),2,2166-graphic-and-multimedia-designers-level-4,2166,45840,wages_statfin,,Bachelor's degree,2-4 years,None,4477,,4,Below average,extras_csv,,9,"Graphic design is a fundamentally digital occupation where core tasks—image generation, layout creation, and photo editing—are being rapidly transformed by generative AI. While high-level creative direction and client management remain human-centric, the automation of production tasks significantly increases individual productivity, likely reducing the total number of designers needed for routine commercial work.",
2166. Graphic and multimedia designers (Level 5),2,2166-graphic-and-multimedia-designers-level-5,2166.,45840,wages_statfin,,Bachelor's degree,2-4 years,None,4477,,4,Below average,extras_csv,,9,"Graphic design is a fundamentally digital occupation where core tasks—image generation, layout creation, and photo editing—are being rapidly transformed by generative AI. While high-level creative direction and client management remain human-centric, the automation of production tasks significantly increases individual productivity, likely reducing the total number of designers needed for routine commercial work.",
22 Health professionals (Level 2),2,22-health-professionals-level-2,22,72840,wages_statfin,,,,,42671,,,,,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
221 Medical doctors (Level 3),2,221-medical-doctors-level-3,221,102000,wages_statfin,,,,,22431,,,,,,,,
2211 Generalist medical practitioners (Level 4),2,2211-generalist-medical-practitioners-level-4,2211,95340,wages_statfin,,Doctoral degree,5+ years,Specialist training,8083,,9,Very good prospects,extras_csv,,10,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2211. Generalist medical practitioners (Level 5),2,2211-generalist-medical-practitioners-level-5,2211.,95340,wages_statfin,,Doctoral degree,5+ years,Specialist training,8083,,9,Very good prospects,extras_csv,,10,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2212 Specialist medical practitioners (Level 4),2,2212-specialist-medical-practitioners-level-4,2212,105708,wages_statfin,,Bachelor's degree,3-5 years,None,14348,,8,Good prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
22121 Senior physicians (Level 5),2,22121-senior-physicians-level-5,22121,129264,wages_statfin,,Bachelor's degree,2-4 years,None,3278,,6,Moderate prospects,extras_csv,,,,
22122 Specialists (Level 5),2,22122-specialists-level-5,22122,95088,wages_statfin,,Bachelor's degree,2-4 years,None,11070,,6,Moderate prospects,extras_csv,,8,"This occupation is fundamentally digital and data-driven, involving core tasks like market research, cost analysis, and report generation that align perfectly with AI's strengths. AI can automate the drafting of job descriptions, perform complex compensation benchmarking, and monitor regulatory changes, significantly increasing individual productivity and reducing the need for manual data processing.",
222 Nursing and midwifery professionals (Level 3),2,222-nursing-and-midwifery-professionals-level-3,222,50376,wages_statfin,,,,,5650,,,,,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2221 Nursing professionals (Level 4),2,2221-nursing-professionals-level-4,2221,50376,wages_statfin,,Bachelor's degree,3-5 years,None,5650,,8,Good prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
22211 Matrons (Level 5),2,22211-matrons-level-5,22211,68628,wages_statfin,,Bachelor's degree,2-4 years,None,512,,6,Moderate prospects,extras_csv,,,,
22212 Ward sisters (Level 5),2,22212-ward-sisters-level-5,22212,49812,wages_statfin,,Bachelor's degree,2-4 years,None,5138,,6,Moderate prospects,extras_csv,,,,
225 Veterinarians (Level 3),2,225-veterinarians-level-3,225,72144,wages_statfin,,,,,1798,,,,,,4,"Veterinary work is a hybrid of physical procedures and complex diagnostic knowledge work. While AI will significantly enhance diagnostic accuracy through image analysis (X-rays/ultrasounds) and treatment planning, the core of the job requires physical surgery, manual examinations, and high-stakes interpersonal communication with pet owners that cannot be automated.",
2250 Veterinarians (Level 4),2,2250-veterinarians-level-4,2250,72144,wages_statfin,,Bachelor's degree,2-4 years,None,1798,,5,Moderate prospects,extras_csv,,4,"Veterinary work is a hybrid of physical procedures and complex diagnostic knowledge work. While AI will significantly enhance diagnostic accuracy through image analysis (X-rays/ultrasounds) and treatment planning, the core of the job requires physical surgery, manual examinations, and high-stakes interpersonal communication with pet owners that cannot be automated.",
2250. Veterinarians (Level 5),2,2250-veterinarians-level-5,2250.,72144,wages_statfin,,Bachelor's degree,2-4 years,None,1798,,5,Moderate prospects,extras_csv,,4,"Veterinary work is a hybrid of physical procedures and complex diagnostic knowledge work. While AI will significantly enhance diagnostic accuracy through image analysis (X-rays/ultrasounds) and treatment planning, the core of the job requires physical surgery, manual examinations, and high-stakes interpersonal communication with pet owners that cannot be automated.",
226 Other health professionals (Level 3),2,226-other-health-professionals-level-3,226,59112,wages_statfin,,Bachelor's degree,2-4 years,None,12792,,6,Moderate prospects,,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
226.  (Not more specifically classified) Other health professionals (Level 4),2,226-not-more-specifically-classified-other-health-professionals-level-4,226.,,,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
226.. (Not more specifically classified) Other health professionals (Level 5),2,226-not-more-specifically-classified-other-health-professionals-level-5,226..,59112,wages_statfin,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2261 Dentists (Level 4),2,2261-dentists-level-4,2261,86160,wages_statfin,,Bachelor's degree,2-4 years,None,4300,,6,Moderate prospects,extras_csv,,3,"The core of dentistry involves highly precise physical procedures, manual dexterity, and real-time patient interaction in a clinical setting, which are resistant to AI automation. While AI will significantly enhance diagnostic accuracy through X-ray analysis and streamline administrative practice management, the physical requirement of performing surgery and restorative work creates a strong barrier to high exposure.",
2261. Dentists (Level 5),2,2261-dentists-level-5,2261.,86160,wages_statfin,,Bachelor's degree,2-4 years,None,4300,,6,Moderate prospects,extras_csv,,3,"The core of dentistry involves highly precise physical procedures, manual dexterity, and real-time patient interaction in a clinical setting, which are resistant to AI automation. While AI will significantly enhance diagnostic accuracy through X-ray analysis and streamline administrative practice management, the physical requirement of performing surgery and restorative work creates a strong barrier to high exposure.",
2262 Pharmacists (Level 4),2,2262-pharmacists-level-4,2262,60408,wages_statfin,,Bachelor's degree,2-4 years,None,1602,,7,Good prospects,extras_csv,,5,"Pharmacists face moderate exposure because their core knowledge-based tasks—checking drug interactions, verifying dosages, and analyzing patient records—are highly susceptible to AI automation and digital optimization. However, the role remains anchored by physical requirements such as administering immunizations, performing clinical rounds, and providing real-time, empathetic patient counseling that requires human trust and physical presence.",
2262. Pharmacists (Level 5),2,2262-pharmacists-level-5,2262.,60408,wages_statfin,,Bachelor's degree,2-4 years,None,1602,,7,Good prospects,extras_csv,,5,"Pharmacists face moderate exposure because their core knowledge-based tasks—checking drug interactions, verifying dosages, and analyzing patient records—are highly susceptible to AI automation and digital optimization. However, the role remains anchored by physical requirements such as administering immunizations, performing clinical rounds, and providing real-time, empathetic patient counseling that requires human trust and physical presence.",
2263 Environmental and occupational health and hygiene professionals (Level 4),2,2263-environmental-and-occupational-health-and-hygiene-professionals-level-4,2263,61860,wages_statfin,,Bachelor's degree,2-4 years,None,773,,7,Good prospects,extras_csv,,5,"This occupation is a hybrid of physical fieldwork and digital knowledge work. While AI can significantly automate data analysis, report writing, and regulatory cross-referencing, the core duties require physical inspections of worksites, manual testing with specialized equipment, and real-time human interaction to conduct safety trainings and emergency investigations.",
2263. Environmental and occupational health and hygiene professionals (Level 5),2,2263-environmental-and-occupational-health-and-hygiene-professionals-level-5,2263.,61860,wages_statfin,,Bachelor's degree,2-4 years,None,773,,7,Good prospects,extras_csv,,5,"This occupation is a hybrid of physical fieldwork and digital knowledge work. While AI can significantly automate data analysis, report writing, and regulatory cross-referencing, the core duties require physical inspections of worksites, manual testing with specialized equipment, and real-time human interaction to conduct safety trainings and emergency investigations.",
2265 Dieticians and nutritionists (Level 4),2,2265-dieticians-and-nutritionists-level-4,2265,48108,wages_statfin,,Bachelor's degree,2-4 years,None,447,,5,Moderate prospects,extras_csv,,6,"The core tasks of analyzing nutritional data, interpreting research, and creating personalized meal plans are highly digital and data-driven, making them susceptible to AI automation and augmentation. However, the role requires significant interpersonal counseling, empathy, and clinical judgment in medical settings, which provides a buffer against full automation.",
2265. Dieticians and nutritionists (Level 5),2,2265-dieticians-and-nutritionists-level-5,2265.,48108,wages_statfin,,Bachelor's degree,2-4 years,None,447,,5,Moderate prospects,extras_csv,,6,"The core tasks of analyzing nutritional data, interpreting research, and creating personalized meal plans are highly digital and data-driven, making them susceptible to AI automation and augmentation. However, the role requires significant interpersonal counseling, empathy, and clinical judgment in medical settings, which provides a buffer against full automation.",
2266 Audiologists and speech therapists (Level 4),2,2266-audiologists-and-speech-therapists-level-4,2266,49728,wages_statfin,,Bachelor's degree,2-4 years,None,1864,,6,Moderate prospects,extras_csv,,4,"Audiology is a clinical healthcare profession that requires physical presence for examinations, wax removal, and fitting hardware like hearing aids or cochlear implants. While AI will significantly enhance diagnostic accuracy, signal processing in hearing devices, and automated testing, the core of the job involves interpersonal counseling, physical patient interaction, and complex clinical judgment that cannot be fully digitized.",
2266. Audiologists and speech therapists (Level 5),2,2266-audiologists-and-speech-therapists-level-5,2266.,49728,wages_statfin,,Bachelor's degree,2-4 years,None,1864,,6,Moderate prospects,extras_csv,,4,"Audiology is a clinical healthcare profession that requires physical presence for examinations, wax removal, and fitting hardware like hearing aids or cochlear implants. While AI will significantly enhance diagnostic accuracy, signal processing in hearing devices, and automated testing, the core of the job involves interpersonal counseling, physical patient interaction, and complex clinical judgment that cannot be fully digitized.",
2269 Health professionals not elsewhere classified (Level 4),2,2269-health-professionals-not-elsewhere-classified-level-4,2269,55356,wages_statfin,,Bachelor's degree,2-4 years,None,3806,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2269. Health professionals not elsewhere classified (Level 5),2,2269-health-professionals-not-elsewhere-classified-level-5,2269.,55356,wages_statfin,,Bachelor's degree,2-4 years,None,3806,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
23 Teaching professionals (Level 2),2,23-teaching-professionals-level-2,23,49788,wages_statfin,,,,,141077,,,,,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
231 University and higher education teachers (Level 3),2,231-university-and-higher-education-teachers-level-3,231,61692,wages_statfin,,,,,18543,,,,,,4,"While AI can significantly automate lesson planning, grading, and the delivery of theoretical knowledge, the core of this occupation involves supervising hands-on activities in physical environments like workshops and labs. Teaching students to safely use physical tools for trades like welding, culinary arts, or auto repair requires real-time human presence and physical intervention that AI cannot currently replicate.",
2310 University and higher education teachers (Level 4),2,2310-university-and-higher-education-teachers-level-4,2310,61692,wages_statfin,,Bachelor's degree,2-4 years,None,18543,,7,Good prospects,extras_csv,,4,"While AI can significantly automate lesson planning, grading, and the delivery of theoretical knowledge, the core of this occupation involves supervising hands-on activities in physical environments like workshops and labs. Teaching students to safely use physical tools for trades like welding, culinary arts, or auto repair requires real-time human presence and physical intervention that AI cannot currently replicate.",
23101 Professors (Level 5),2,23101-professors-level-5,23101,88248,wages_statfin,,Bachelor's degree,2-4 years,None,3061,,6,Moderate prospects,extras_csv,,,,
23102 Lecturers and senior assistants (university) (Level 5),2,23102-lecturers-and-senior-assistants-university-level-5,23102,55308,wages_statfin,,Bachelor's degree,2-4 years,None,4512,,6,Moderate prospects,extras_csv,,7,"A significant portion of this role involves routine information processing, cataloging, and answering reference questions, all of which are highly susceptible to AI automation. While physical tasks like reshelving books and interpersonal community programming provide some protection, the core digital and clerical functions are increasingly being handled by automated systems and AI-driven search tools.",
23103 Assistants and part-time lecturers (university) (Level 5),2,23103-assistants-and-part-time-lecturers-university-level-5,23103,36636,wages_statfin,,Bachelor's degree,2-4 years,None,4851,,6,Moderate prospects,extras_csv,,7,"A significant portion of this role involves routine information processing, cataloging, and answering reference questions, all of which are highly susceptible to AI automation. While physical tasks like reshelving books and interpersonal community programming provide some protection, the core digital and clerical functions are increasingly being handled by automated systems and AI-driven search tools.",
23104 Head teachers (polytechnics) (Level 5),2,23104-head-teachers-polytechnics-level-5,23104,76644,wages_statfin,,Bachelor's degree,2-4 years,None,592,,6,Moderate prospects,extras_csv,,,,
23105 Lecturers (polytechnics) (Level 5),2,23105-lecturers-polytechnics-level-5,23105,64704,wages_statfin,,Bachelor's degree,2-4 years,None,4916,,6,Moderate prospects,extras_csv,,,,
"23106 Part-time lecturers, etc. (polytechnics) (Level 5)",2,23106-part-time-lecturers-etc-polytechnics-level-5,23106,55800,wages_statfin,,Bachelor's degree,2-4 years,None,611,,6,Moderate prospects,extras_csv,,,,
232 Vocational education teachers (Level 3),2,232-vocational-education-teachers-level-3,232,54552,wages_statfin,,,,,14268,,,,,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
2320 Vocational education teachers (Level 4),2,2320-vocational-education-teachers-level-4,2320,54552,wages_statfin,,Bachelor's degree,2-4 years,None,14268,,6,Moderate prospects,extras_csv,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
2320. Vocational education teachers (Level 5),2,2320-vocational-education-teachers-level-5,2320.,54552,wages_statfin,,Bachelor's degree,2-4 years,None,14268,,6,Moderate prospects,extras_csv,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
233 Secondary education teachers (Level 3),2,233-secondary-education-teachers-level-3,233,56148,wages_statfin,,Bachelor's degree,2-4 years,None,24007,,6,Moderate prospects,,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
233.  (Not more specifically classified) Secondary education teachers (Level 4),2,233-not-more-specifically-classified-secondary-education-teachers-level-4,233.,,,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
233.. (Not more specifically classified) Secondary education teachers (Level 5),2,233-not-more-specifically-classified-secondary-education-teachers-level-5,233..,56148,wages_statfin,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2330 Secondary education teachers (Level 4),2,2330-secondary-education-teachers-level-4,2330,56148,wages_statfin,,Bachelor's degree,2-4 years,None,24007,,6,Moderate prospects,extras_csv,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
234 Primary school and early childhood teachers (Level 3),2,234-primary-school-and-early-childhood-teachers-level-3,234,42936,wages_statfin,,Bachelor's degree,2-4 years,None,51457,,6,Moderate prospects,,,6,"AI will significantly automate back-end knowledge work such as lesson planning, grading, and administrative communication, which currently occupy a large portion of a teacher's time. However, the core of the role involves physical supervision, emotional support, and real-time behavioral management of young children, which creates a substantial barrier to full automation.",
234.  (Not more specifically classified) Primary school and early childhood teachers (Level 4),2,234-not-more-specifically-classified-primary-school-and-early-childhood-teachers-level-4,234.,,,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
234.. (Not more specifically classified) Primary school and early childhood teachers (Level 5),2,234-not-more-specifically-classified-primary-school-and-early-childhood-teachers-level-5,234..,42936,wages_statfin,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2341 Primary school teachers (Level 4),2,2341-primary-school-teachers-level-4,2341,50076,wages_statfin,,Bachelor's degree,2-4 years,None,28744,,6,Moderate prospects,extras_csv,,7,"High school teachers are heavily exposed because core digital tasks like lesson planning, content creation, and grading are highly susceptible to AI automation and augmentation. While the physical requirement of classroom management and interpersonal mentorship provides a buffer, AI's ability to provide personalized tutoring and automated feedback significantly reshapes the instructional delivery and administrative workload of the profession.",
23411 Class teachers in primary education (Level 5),2,23411-class-teachers-in-primary-education-level-5,23411,50148,wages_statfin,,Bachelor's degree,2-4 years,None,19675,,6,Moderate prospects,extras_csv,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
23412 Subject teachers in primary education (Level 5),2,23412-subject-teachers-in-primary-education-level-5,23412,49656,wages_statfin,,Bachelor's degree,2-4 years,None,9069,,6,Moderate prospects,extras_csv,,7,"The core work product—language instruction, literacy training, and test preparation—is fundamentally digital and information-based, making it highly susceptible to AI-driven tutoring and translation tools. While the role requires significant cultural sensitivity and interpersonal motivation, AI can now provide personalized lesson plans, real-time feedback, and adaptive learning paths that significantly increase teacher productivity or replace routine instructional tasks.",
2342 Early childhood educators (Level 4),2,2342-early-childhood-educators-level-4,2342,38772,wages_statfin,,Bachelor's degree,2-4 years,None,22713,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2342. Early childhood educators (Level 5),2,2342-early-childhood-educators-level-5,2342.,38772,wages_statfin,,Bachelor's degree,2-4 years,None,22713,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
235 Other teaching professionals (Level 3),2,235-other-teaching-professionals-level-3,235,48504,wages_statfin,,Bachelor's degree,2-4 years,None,32802,,6,Moderate prospects,,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
235.  (Not more specifically classified) Other teaching professionals (Level 4),2,235-not-more-specifically-classified-other-teaching-professionals-level-4,235.,,,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
235.. (Not more specifically classified) Other teaching professionals (Level 5),2,235-not-more-specifically-classified-other-teaching-professionals-level-5,235..,48504,wages_statfin,,Bachelor's degree,2-4 years,None,0,,6,Moderate prospects,extras_csv,,9,"This professional occupation involves extensive digital knowledge work and analytical tasks that are highly susceptible to AI automation and augmentation. The work is primarily computer-based with limited physical requirements, making it highly exposed to AI capabilities.",
2351 Education methods specialists (Level 4),2,2351-education-methods-specialists-level-4,2351,48168,wages_statfin,,Bachelor's degree,2-4 years,None,6792,,6,Moderate prospects,extras_csv,,6,"A significant portion of the role involves digital knowledge work such as analyzing community health data, writing grant proposals, and creating educational materials, all of which are highly susceptible to AI augmentation. However, the core requirements of community advocacy, empathetic interpersonal interaction, and physical presence for local events and training provide a buffer against full automation.",
2351. Education methods specialists (Level 5),2,2351-education-methods-specialists-level-5,2351.,48168,wages_statfin,,Bachelor's degree,2-4 years,None,6792,,6,Moderate prospects,extras_csv,,6,"A significant portion of the role involves digital knowledge work such as analyzing community health data, writing grant proposals, and creating educational materials, all of which are highly susceptible to AI augmentation. However, the core requirements of community advocacy, empathetic interpersonal interaction, and physical presence for local events and training provide a buffer against full automation.",
